scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,state_code,locality_id,protocol_type,observation_date,year,month,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus amaurochalinus,-63.6470604,-18.1201578,S17166527,Bolivia,obs206978,S17166527,1,BO-S,L1008525,Stationary,16-06-03,2003,6,7.5,180,0,2
Turdus amaurochalinus,-60.04884,-29.050546,S62699500,Argentina,obs1257411,S62699500,5,AR-S,L10361024,Traveling,10-09-03,2003,9,16.5,90,5,1
Turdus amaurochalinus,-51.7283446,-28.1976096,S100655952,Brazil,obs1166183,S100655952,,BR-RS,L10637103,Traveling,14-06-03,2003,6,9,300,2.5,1
Turdus amaurochalinus,-58.9003398,-34.2258079,S99982670,Argentina,obs2625854,S99982670,,AR-B,L11712713,Traveling,19-12-03,2003,12,10,120,3,2
Turdus amaurochalinus,-57.195204,-28.5458658,S70758723,Argentina,obs1312265,S70758723,2,AR-W,L11759598,Traveling,17-09-03,2003,9,9.5,90,3,2
Turdus amaurochalinus,-56.8075348,-28.3608302,S70759859,Argentina,obs1312265,S70759859,1,AR-W,L11760030,Traveling,18-09-03,2003,9,8,120,4,6
Turdus amaurochalinus,-44.5432091,-22.9828067,S96545917,Brazil,obs532733,S96545917,2,BR-RJ,L1177938,Traveling,11-07-03,2003,7,11.5,150,3,2
Turdus amaurochalinus,-58.494966,-34.4693445,S32922563,Argentina,obs240226,S32922563,,AR-B,L1294852,Traveling,01-11-03,2003,11,4.5,60,0.6,2
Turdus amaurochalinus,-49.3078208,-26.3233634,S27365559,Brazil,obs201857,S27365559,,BR-SC,L1299598,Traveling,10-09-03,2003,9,9,120,2,4
Turdus amaurochalinus,-57.8495407,-34.4730063,S9030873,Uruguay,obs188371,S9030873,,UY-CO,L1302776,Traveling,23-11-03,2003,11,11,300,4.828,2
Turdus amaurochalinus,-44.6156963,-22.4320969,S9602864,Brazil,obs281470,S9602864,,BR-RJ,L1375471,Traveling,22-08-03,2003,8,6,300,2,2
Turdus amaurochalinus,-54.5200749,-25.5992638,S9671684,Brazil,obs281470,S9671684,,BR-PR,L1390436,Traveling,17-08-03,2003,8,6,120,0.5,2
Turdus amaurochalinus,-50.0327122,-29.7724004,S9672144,Brazil,obs281470,S9672144,,BR-RS,L1390449,Traveling,19-08-03,2003,8,7,120,1.5,2
Turdus amaurochalinus,-57.5723559,-25.249005,S40333091,Paraguay,obs857176,S40333091,1,PY-ASU,L1621522,Traveling,11-10-03,2003,10,6.5,300,3.219,1
Turdus amaurochalinus,-56.206162,-15.6554164,S11636233,Brazil,obs201857,S11636233,,BR-MT,L1758106,Traveling,12-09-03,2003,9,6,120,1,2
Turdus amaurochalinus,-45.0597918,-23.3993496,S11646301,Brazil,obs201857,S11646301,1,BR-SP,L1759682,Traveling,23-09-03,2003,9,17,60,1,2
Turdus amaurochalinus,-64.7190857,-29.8612099,S16078677,Argentina,obs423266,S16078677,,AR-X,L2413326,Traveling,16-06-03,2003,6,11,120,2,4
Turdus amaurochalinus,-56.8166542,-29.4699406,S15949269,Argentina,obs423266,S15949269,,AR-W,L2465099,Traveling,18-10-03,2003,10,7,180,3,2
Turdus amaurochalinus,-64.75094,-32.66021,S42041909,Argentina,obs428785,S42041909,2,AR-X,L2991302,Traveling,29-12-03,2003,12,8,120,2,1
Turdus amaurochalinus,-64.3011224,-33.1152683,S43094582,Argentina,obs428785,S43094582,3,AR-X,L3684039,Traveling,26-03-03,2003,3,14,120,2,1
Turdus amaurochalinus,-44.9681096,-22.6668681,S27774848,Brazil,obs201857,S27774848,,BR-SP,L4303768,Traveling,25-09-03,2003,9,9,45,2,1
Turdus amaurochalinus,-54.455452,-25.6833032,S68872697,Argentina,obs1097137,S68872697,1,AR-N,L472205,Traveling,01-06-03,2003,6,7.5,180,4.023,2
Turdus amaurochalinus,-62.6998329,-19.7702427,S30765790,Bolivia,obs212296,S30765790,17,BO-S,L4800837,Traveling,09-03-03,2003,3,6,270,3.219,1
Turdus amaurochalinus,-58.8817833,-34.19895,S9003301,Argentina,obs188371,S9003301,,AR-B,L495992,Traveling,31-05-03,2003,5,7,180,3.219,2
Turdus amaurochalinus,-42.6421452,-22.4445094,S55112673,Brazil,obs353695,S55112673,1,BR-RJ,L612261,Traveling,19-10-03,2003,10,8,240,4,2
Turdus amaurochalinus,-66.839211,-29.4294687,S42735067,Argentina,obs428785,S42735067,3,AR-F,L6871080,Traveling,06-11-03,2003,11,10,120,5,1
Turdus amaurochalinus,-48.4124944,-24.2666196,S42828659,Brazil,obs962124,S42828659,1,BR-SP,L6924028,Traveling,20-10-03,2003,10,8,180,4.828,2
Turdus amaurochalinus,-64.5896852,-32.5245805,S43891339,Argentina,obs428785,S43891339,2,AR-X,L7107731,Stationary,18-04-03,2003,4,9.5,60,0,1
Turdus amaurochalinus,-45.0641004,-23.3972349,S96547144,Brazil,obs532733,S96547144,1,BR-SP,L786356,Traveling,12-07-03,2003,7,6.5,270,3,2
Turdus amaurochalinus,-63.0697632,-17.7664245,S30769988,Bolivia,obs212296,S30769988,20,BO-S,L831297,Traveling,29-05-03,2003,5,8.333333333,120,1.609,3
Turdus amaurochalinus,-54.1796619,-34.582606,S54444330,Uruguay,obs192023,S54444330,1,UY-RO,L8954577,Traveling,06-07-03,2003,7,12.25,250,4,1
Turdus amaurochalinus,-66.2954422,-14.650156,S88468888,Bolivia,obs1408101,S88468888,,BO-B,L9525618,Traveling,13-09-03,2003,9,16.75,120,3,3
Turdus amaurochalinus,-65.2938081,-24.1916873,S61033788,Argentina,obs272291,S61033788,,AR-Y,L10094065,Stationary,29-09-04,2004,9,17,30,0,1
Turdus amaurochalinus,-47.8323269,-15.8760661,S146157357,Brazil,obs1499208,S146157357,,BR-DF,L3114185,Traveling,29-08-04,2004,8,12,300,3,1
Turdus amaurochalinus,-64.9866199,-32.3289899,S23897742,Argentina,obs521880,S23897742,1,AR-D,L3719159,Traveling,14-03-04,2004,3,9,180,3,2
Turdus amaurochalinus,-65.8009386,-32.2827064,S23966381,Argentina,obs521880,S23966381,1,AR-D,L3733838,Traveling,28-02-04,2004,2,16,120,2,4
Turdus amaurochalinus,-47.639873,-22.7087789,S120663544,Brazil,obs788417,S120663544,,BR-SP,L3886968,Traveling,05-11-04,2004,11,6.5,140,2.414,3
Turdus amaurochalinus,-66.1715381,-17.4102984,S26869392,Bolivia,obs279344,S26869392,1,BO-C,L4154715,Stationary,08-08-04,2004,8,15.58333333,10,0,1
Turdus amaurochalinus,-43.2241201,-22.9674422,S15180191,Brazil,obs101570,S15180191,,BR-RJ,L494684,Traveling,15-04-04,2004,4,9.5,105,3.219,1
Turdus amaurochalinus,-47.857734,-15.763369,S146157643,Brazil,obs1499208,S146157643,,BR-DF,L6083614,Traveling,30-08-04,2004,8,10,240,2,1
Turdus amaurochalinus,-63.2089381,-17.7845255,S41710089,Bolivia,obs527452,S41710089,10,BO-S,L6682283,Traveling,04-09-04,2004,9,13.5,270,3.219,2
Turdus amaurochalinus,-62.6784182,-30.9178365,S42207113,Argentina,obs428785,S42207113,2,AR-X,L680946,Stationary,24-02-04,2004,2,17,30,0,1
Turdus amaurochalinus,-62.4641667,-21.6022222,S46346799,Bolivia,obs1089184,S46346799,1,BO-T,L7528007,Traveling,24-07-04,2004,7,7,150,3.5,2
Turdus amaurochalinus,-57.8900099,-19.2037811,S46347327,Bolivia,obs1089184,S46347327,3,BO-S,L7528122,Traveling,19-08-04,2004,8,7,240,4,1
Turdus amaurochalinus,-63.1605721,-17.9483605,S26873125,Bolivia,obs279344,S26873125,10,BO-S,L816130,Traveling,14-08-04,2004,8,13.58333333,250,2.414,3
Turdus amaurochalinus,-54.1095961,-26.6269935,S57826611,Argentina,obs500739,S57826611,,AR-N,L9563962,Traveling,08-04-04,2004,4,14.5,180,3,3
Turdus amaurochalinus,-56.236855,-21.0916086,S127256613,Brazil,obs692284,S127256613,,BR-MS,L10046141,Traveling,24-09-05,2005,9,6,240,3,1
Turdus amaurochalinus,-58.2221639,-26.343422,S31604768,Argentina,obs228451,S31604768,4,AR-P,L1007154,Traveling,15-07-05,2005,7,8,300,2.414,1
Turdus amaurochalinus,-42.5607958,-22.3705622,S102187440,Brazil,obs345243,S102187440,,BR-RJ,L10682851,Traveling,03-11-05,2005,11,15,120,2,9
Turdus amaurochalinus,-43.6075,-19.3539,S21575611,Brazil,obs534175,S21575611,1,BR-MG,L1123071,Traveling,14-10-05,2005,10,8,240,4.828,7
Turdus amaurochalinus,-48.872987,-27.90096,S69445456,Brazil,obs187569,S69445456,,BR-SC,L11514381,Traveling,03-02-05,2005,2,12.76666667,300,3,1
Turdus amaurochalinus,-54.4454506,-25.6804434,S70329842,Argentina,obs1312265,S70329842,4,AR-N,L11673587,Traveling,23-03-05,2005,3,15,150,2,1
Turdus amaurochalinus,-63.2827778,-20.5163889,S9229044,Bolivia,obs112693,S9229044,,BO-H,L1326653,Traveling,02-01-05,2005,1,14.25,110,0.483,1
Turdus amaurochalinus,-63.4711111,-21.3233333,S9229046,Bolivia,obs112693,S9229046,,BO-T,L1326655,Traveling,03-01-05,2005,1,9.166666667,75,0.805,1
Turdus amaurochalinus,-63.4161111,-21.8386111,S9229047,Bolivia,obs112693,S9229047,,BO-T,L1326657,Traveling,04-01-05,2005,1,10.83333333,155,0.483,1
Turdus amaurochalinus,-63.03,-21.8333333,S9229033,Bolivia,obs112693,S9229033,,BO-T,L1326658,Traveling,04-01-05,2005,1,15.25,25,0.322,1
Turdus amaurochalinus,-62.8972222,-21.8080556,S9229034,Bolivia,obs112693,S9229034,,BO-T,L1326660,Traveling,04-01-05,2005,1,16.91666667,20,0.161,1
Turdus amaurochalinus,-63.0838889,-21.8380556,S9229049,Bolivia,obs112693,S9229049,,BO-T,L1326661,Traveling,06-01-05,2005,1,17.91666667,35,0.483,1
Turdus amaurochalinus,-65.5277333,-28.1956247,S93682148,Argentina,obs1411808,S93682148,,AR-K,L16199093,Traveling,03-02-05,2005,2,6.75,210,2,1
Turdus amaurochalinus,-65.5471725,-28.2014997,S93683403,Argentina,obs1411808,S93683403,,AR-K,L16199589,Traveling,04-02-05,2005,2,7,270,3,1
Turdus amaurochalinus,-58.493854,-34.4683144,S11966712,Argentina,obs313423,S11966712,,AR-B,L1784948,Traveling,24-11-05,2005,11,13,180,1.207,1
Turdus amaurochalinus,-46.6591035,-23.5861978,S37386037,Brazil,obs527452,S37386037,3,BR-SP,L1800556,Traveling,25-10-05,2005,10,9.25,240,4.828,5
Turdus amaurochalinus,-45.340879,-23.847,S12340511,Brazil,obs303979,S12340511,1,BR-SP,L1844696,Traveling,06-05-05,2005,5,7,3,2.993,3
Turdus amaurochalinus,-43.220695,-22.972981,S12401443,Brazil,obs303979,S12401443,,BR-RJ,L1854143,Traveling,03-05-05,2005,5,10.5,120,1.497,3
Turdus amaurochalinus,-58.0698037,-34.8600526,S22597142,Argentina,obs559056,S22597142,,AR-B,L19440545,Traveling,02-12-05,2005,12,8,230,3,1
Turdus amaurochalinus,-62.7007985,-32.6271232,S15315307,Argentina,obs422723,S15315307,5,AR-X,L2343814,Traveling,23-10-05,2005,10,8,90,2,4
Turdus amaurochalinus,-62.6898766,-32.307302,S15315220,Argentina,obs422723,S15315220,1,AR-X,L2374775,Stationary,09-10-05,2005,10,10.5,30,0,3
Turdus amaurochalinus,-40.0681686,-19.1504872,S21621442,Brazil,obs534175,S21621442,1,BR-ES,L2429274,Traveling,20-10-05,2005,10,7,300,3.219,7
Turdus amaurochalinus,-49.14742,-26.7664371,S19615881,Brazil,obs360030,S19615881,,BR-SC,L3061479,Traveling,08-10-05,2005,10,14.5,180,2,2
Turdus amaurochalinus,-42.6033068,-21.9333033,S21639156,Brazil,obs534175,S21639156,1,BR-RJ,L3333017,Traveling,24-10-05,2005,10,14,90,1.609,7
Turdus amaurochalinus,-41.02675,-20.49277,S21593311,Brazil,obs534175,S21593311,1,BR-ES,L3600423,Traveling,17-10-05,2005,10,8,240,4.828,7
Turdus amaurochalinus,-49.200394,-26.658974,S19617602,Brazil,obs360030,S19617602,,BR-SC,L3685175,Traveling,02-11-05,2005,11,5.5,180,2,2
Turdus amaurochalinus,-56.516279,-20.9821571,S127211932,Brazil,obs692284,S127211932,,BR-MS,L3686568,Traveling,15-09-05,2005,9,5.75,240,3,1
Turdus amaurochalinus,-56.4396617,-21.4613264,S127255119,Brazil,obs692284,S127255119,,BR-MS,L3721210,Traveling,17-09-05,2005,9,6.666666667,240,5,1
Turdus amaurochalinus,-49.1377687,-26.7763421,S19617130,Brazil,obs360030,S19617130,,BR-SC,L3804970,Traveling,22-10-05,2005,10,6,180,2,2
Turdus amaurochalinus,-64.933877,-14.5406345,S27175684,Bolivia,obs279344,S27175684,1,BO-B,L4198318,Traveling,13-09-05,2005,9,14.66666667,140,0.161,8
Turdus amaurochalinus,-64.995482,-14.6089169,S27178060,Bolivia,obs279344,S27178060,1,BO-B,L4198702,Traveling,14-09-05,2005,9,14.75,130,0.322,8
Turdus amaurochalinus,-57.1742249,-28.5355205,S100593736,Argentina,obs2625854,S100593736,,AR-W,L484766,Traveling,03-11-05,2005,11,7,240,5,10
Turdus amaurochalinus,-61.0839844,-14.8810872,S6084536,Bolivia,obs162639,S6084536,1,BO-S,L604107,Traveling,15-10-05,2005,10,6.166666667,33,0.998,1
Turdus amaurochalinus,-43.0000591,-22.4718752,S21637516,Brazil,obs534175,S21637516,1,BR-RJ,L612846,Traveling,24-10-05,2005,10,0,90,1.609,7
Turdus amaurochalinus,-42.913456,-22.488411,S102407712,Brazil,obs1129700,S102407712,2,BR-RJ,L6258680,Traveling,22-06-05,2005,6,9.516666667,240,4,1
Turdus amaurochalinus,-59.1563344,-34.5068042,S43577086,Argentina,obs496887,S43577086,1,AR-B,L7053936,Traveling,18-09-05,2005,9,11,90,1,1
Turdus amaurochalinus,-56.5138409,-21.1159599,S127686417,Brazil,obs692284,S127686417,,BR-MS,L7378482,Traveling,10-05-05,2005,5,6,60,0.5,1
