scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus chiguanco,-70.1211111,-17.8541667,S38151302,Peru,obs163035,S38151302,,true,PE-TAC,L6090385,Traveling,06-04-07,2007,7,180,2,3
Turdus chiguanco,-68.1768608,-16.5087219,S5153319,Bolivia,obs28253,S5153319,12,true,BO-L,L751366,Stationary,30-11-07,2007,7,300,0,1
Turdus chiguanco,-79.2951751,-6.0759925,S46666245,Peru,obs152889,S46666245,2,true,PE-LAM,L7596783,Traveling,01-07-07,2007,6,240,4,1
Turdus chiguanco,-69.0070417,-32.5204013,S59512661,Argentina,obs267395,S59512661,3,true,AR-M,L7726616,Traveling,15-02-07,2007,16.75,25,0.3,3
Turdus chiguanco,-68.5810356,-29.497131,S47648699,Argentina,obs496887,S47648699,,true,AR-F,L7787436,Traveling,26-04-07,2007,12,30,0.4,1
Turdus chiguanco,-69.4556603,-31.6136265,S48356560,Argentina,obs496887,S48356560,,true,AR-J,L7903829,Traveling,24-04-07,2007,9.5,240,1,1
Turdus chiguanco,-69.3585831,-32.9741327,S59513168,Argentina,obs267395,S59513168,4,true,AR-M,L835572,Traveling,17-02-07,2007,12.5,160,3,3
Turdus chiguanco,-66.0350418,-26.4657325,S24884900,Argentina,obs419506,S24884900,10,true,AR-T,L844352,Traveling,04-11-07,2007,7.5,150,4,2
Turdus chiguanco,-76.0913086,-11.0166885,S32321437,Peru,obs122234,S32321437,,true,PE-JUN,L846513,Traveling,08-06-07,2007,16,180,3,4
Turdus chiguanco,-76.58664,-11.73275,S32851951,Peru,obs340851,S32851951,,true,PE-LIM,L858533,Traveling,16-11-07,2007,8,120,2,10
Turdus chiguanco,-76.6190976,-11.7534546,S32851217,Peru,obs340851,S32851217,,true,PE-LIM,L883178,Stationary,16-11-07,2007,6.5,20,0,10
Turdus chiguanco,-73.3357143,-13.7329651,S6317074,Peru,obs161890,S6317074,,true,PE-APU,L892897,Traveling,10-09-07,2007,15,45,1,1
Turdus chiguanco,-69.5620975,-18.1974797,S56717923,Chile,obs353695,S56717923,1,true,CL-AP,L9338942,Traveling,11-12-07,2007,10,240,5,2
Turdus chiguanco,-71.5945,-13.1620833,G10285756,Peru,"obs149818,obs205067","S138718067,S24966194",2,true,PE-CUS,L599441,Traveling,02-11-03,2003,13.58333333,225,4.828,3
Turdus chiguanco,-78.170557,-7.3346818,G4718022,Peru,"obs340851,obs893357","S16024227,S61943536",,true,PE-CAJ,L976503,Traveling,27-02-06,2006,7,300,4,3
Turdus chiguanco,-64.7190857,-29.8612099,G1090198,Argentina,"obs423266,obs426915","S21117179,S21134739",,true,AR-X,L2413326,Traveling,20-02-03,2003,7,300,3,2
Turdus chiguanco,-78.41945,-7.0997833,G2344094,Peru,"obs90997,obs283201","S34347078,S36045305",10,true,PE-CAJ,L493415,Traveling,11-09-05,2005,16.5,80,2,8
Turdus chiguanco,-78.4723592,-7.2525864,G2344147,Peru,"obs90997,obs283201","S34353715,S36045787",6,true,PE-CAJ,L2341268,Traveling,12-09-05,2005,12.5,120,2,8
Turdus chiguanco,-78.1169343,-6.8941333,G2344405,Peru,"obs90997,obs283201","S34398714,S36048565",11,true,PE-CAJ,L3633673,Traveling,14-09-05,2005,6.5,125,2,8
Turdus chiguanco,-77.9445243,-6.7888216,G2344480,Peru,"obs90997,obs283201","S34453082,S36049323",3,true,PE-AMA,L4635060,Traveling,15-09-05,2005,10.25,105,2,8
Turdus chiguanco,-77.8683472,-6.7165736,G2344505,Peru,"obs90997,obs283201","S34454089,S36049552",2,true,PE-AMA,L983325,Traveling,15-09-05,2005,13.5,120,4,8
Turdus chiguanco,-77.9847295,-5.8576587,G2543403,Peru,"obs90997,obs283201","S34898664,S38206045",5,true,PE-AMA,L976332,Traveling,17-09-05,2005,15.08333333,120,2,8
Turdus chiguanco,-65.4526591,-24.1217081,G2531401,Argentina,"obs104040,obs60864","S38083864,S38088647",,true,AR-Y,L844832,Traveling,22-11-07,2007,5.5,210,5,3
Turdus chiguanco,-64.6369886,-30.7868247,G3207536,Argentina,obs601293,S45778534,,true,AR-X,L2763419,Traveling,15-12-05,2005,6.5,240,4,1
Turdus chiguanco,-64.5150018,-32.0717224,G3207539,Argentina,obs601293,S45778538,,true,AR-X,L2763420,Traveling,22-12-07,2007,6.75,225,2.5,1
Turdus chiguanco,-69.0832329,-16.15986,G150261,Bolivia,"obs103121,obs104040,obs28253","S5763882,S6072412,S6630501",12,true,BO-L,L831481,Traveling,24-12-07,2007,14.5,135,1.75,3
