scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,state_code,locality_id,protocol_type,observation_date,year,month,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus amaurochalinus,-58.869617,-27.4281567,S32171052,Argentina,obs800296,S32171052,1,AR-H,L4927854,Traveling,19-10-16,2016,10,18,60,2,2
Turdus amaurochalinus,-64.2705556,-31.3313889,S31629001,Argentina,obs111915,S31629001,2,AR-X,L4930921,Stationary,16-09-16,2016,9,11.5,2,0,1
Turdus amaurochalinus,-58.7981361,-34.2291459,S31653863,Argentina,obs795060,S31653863,1,AR-B,L4934254,Traveling,18-09-16,2016,9,12.5,240,3,2
Turdus amaurochalinus,-54.5562027,-25.5671963,S31673440,Brazil,obs219679,S31673440,1,BR-PR,L4935548,Traveling,20-09-16,2016,9,9.716666667,45,5,1
Turdus amaurochalinus,-46.7165655,-23.5635446,S31669575,Brazil,obs553176,S31669575,1,BR-SP,L4936450,Traveling,19-09-16,2016,9,12.2,60,1,1
Turdus amaurochalinus,-58.358781,-34.609001,S31715935,Argentina,obs653565,S31715935,1,AR-C,L4937810,Traveling,22-09-16,2016,9,8,240,3.219,1
Turdus amaurochalinus,-55.7548618,-34.7719195,S31681590,Uruguay,obs665271,S31681590,1,UY-CA,L4938145,Traveling,20-09-16,2016,9,15.58333333,40,2,1
Turdus amaurochalinus,-58.6381767,-34.33824,S31685344,Argentina,obs650005,S31685344,2,AR-B,L4938683,Traveling,19-09-16,2016,9,14.08333333,150,3,1
Turdus amaurochalinus,-65.52036,-25.27154,S31711360,Argentina,obs692488,S31711360,1,AR-A,L4942588,Stationary,22-09-16,2016,9,7.25,20,0,1
Turdus amaurochalinus,-58.2308333,-26.2144444,S31728067,Argentina,obs111915,S31728067,2,AR-P,L4943773,Traveling,23-09-16,2016,9,16.5,180,3,1
Turdus amaurochalinus,-58.729896,-27.4787954,S31720081,Argentina,obs228451,S31720081,2,AR-W,L4943875,Stationary,23-09-16,2016,9,10.6,120,0,1
Turdus amaurochalinus,-48.4697168,-27.6268775,S31739462,Brazil,obs655663,S31739462,1,BR-SC,L4946507,Traveling,20-09-16,2016,9,15.71666667,151,3.5,1
Turdus amaurochalinus,-48.075979,-15.8158677,S31748106,Brazil,obs335836,S31748106,,BR-DF,L4947816,Traveling,25-09-16,2016,9,7.5,240,1,10
