scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus falcklandii,-71.0057974,-41.0595502,S53661238,Argentina,obs1257411,S53661238,1,true,AR-R,L682725,Traveling,22-03-06,2006,16,160,1.9,2
Turdus falcklandii,-70.3121567,-33.2936601,S6820299,Chile,obs193723,S6820299,1,true,CL-RM,L690114,Traveling,26-02-06,2006,10,240,2,1
Turdus falcklandii,-71.5544271,-33.0292104,S5303655,Chile,obs160240,S5303655,2,true,CL-VS,L751364,Traveling,22-09-06,2006,16,120,2,2
Turdus falcklandii,-71.5031433,-32.8853535,S5156293,Chile,obs160240,S5156293,,true,CL-VS,L752313,Traveling,07-09-06,2006,9,300,2,2
Turdus falcklandii,-69.7968836,-35.5168909,S48487643,Argentina,obs496887,S48487643,,true,AR-M,L7922795,Traveling,07-11-06,2006,8,300,5,1
Turdus falcklandii,-70.6790993,-36.845543,S49408599,Argentina,obs496887,S49408599,,true,AR-Q,L8066759,Traveling,09-11-06,2006,12,90,2,2
Turdus falcklandii,-73.6232165,-41.8271179,S53723657,Chile,obs267395,S53723657,2,true,CL-LL,L8176559,Traveling,13-02-06,2006,9,90,0.4,3
Turdus falcklandii,-70.3129292,-33.3520394,S9268257,Chile,obs288756,S9268257,6,true,CL-RM,L1147111,Traveling,14-11-07,2007,9.25,300,0.805,3
Turdus falcklandii,-72.2492083,-51.6748648,S70435029,Argentina,obs294601,S70435029,2,true,AR-Z,L11695809,Traveling,21-09-07,2007,10,60,2,1
Turdus falcklandii,-71.5295792,-42.993599,S26444962,Argentina,obs183499,S26444962,,true,AR-U,L2365781,Stationary,27-10-07,2007,7.5,60,0,1
Turdus falcklandii,-68.1806667,-38.9663333,S51536738,Argentina,obs508506,S51536738,,true,AR-Q,L2763350,Traveling,10-11-07,2007,7,240,2,2
Turdus falcklandii,-67.6043333,-54.7958333,S88549688,Argentina,obs521876,S88549688,5,true,AR-V,L2763561,Traveling,01-07-07,2007,11,20,1,1
Turdus falcklandii,-71.2556934,-29.9037627,S5772655,Chile,obs123510,S5772655,10,true,CL-CO,L3122565,Traveling,16-12-07,2007,13.75,45,1,1
Turdus falcklandii,-71.111927,-32.9843608,S6046128,Chile,obs160240,S6046128,,true,CL-VS,L3154749,Traveling,19-05-07,2007,8,240,4,3
Turdus falcklandii,-71.2950897,-40.2135725,S51536613,Argentina,obs508506,S51536613,,true,AR-Q,L3243763,Traveling,06-11-07,2007,18,120,2,2
Turdus falcklandii,-71.4584684,-42.8389683,S26445535,Argentina,obs183499,S26445535,,true,AR-U,L3591960,Traveling,19-12-07,2007,15,120,3,4
Turdus falcklandii,-71.2793008,-42.9163324,S26444707,Argentina,obs183499,S26444707,1,true,AR-U,L4094468,Stationary,02-09-07,2007,8,20,0,1
Turdus falcklandii,-70.5146098,-33.4533035,S41817005,Chile,obs286988,S41817005,15,true,CL-RM,L4830682,Traveling,21-05-07,2007,15,150,3,2
Turdus falcklandii,-65.2227402,-44.0484242,S83162648,Argentina,obs458923,S83162648,1,true,AR-U,L485324,Traveling,19-10-07,2007,16.5,90,4.828,2
Turdus falcklandii,-68.321228,-54.8109743,S78157875,Argentina,obs195833,S78157875,3,true,AR-V,L487913,Traveling,11-12-07,2007,10,135,3.5,1
Turdus falcklandii,-68.891294,-32.8889753,S52937576,Argentina,obs508506,S52937576,1,true,AR-M,L4928939,Traveling,01-09-07,2007,9,240,1,5
Turdus falcklandii,-71.5619856,-33.0196359,S6046013,Chile,obs160240,S6046013,1,true,CL-VS,L582952,Traveling,07-11-07,2007,17,90,0.4,2
Turdus falcklandii,-70.5308323,-33.4961758,S78154018,Chile,obs195833,S78154018,15,true,CL-RM,L7113242,Traveling,03-12-07,2007,9,45,0.75,1
Turdus falcklandii,-71.4871788,-32.8376257,S5170562,Chile,obs160240,S5170562,2,true,CL-VS,L753385,Traveling,02-11-07,2007,9,240,3,3
Turdus falcklandii,-71.5592927,-33.0323766,S6138947,Chile,obs160240,S6138947,,true,CL-VS,L753391,Stationary,05-09-07,2007,16,20,0,1
Turdus falcklandii,-70.1569748,-32.8663231,S5172547,Chile,obs160240,S5172547,2,true,CL-VS,L756246,Traveling,23-01-07,2007,10,240,3,3
Turdus falcklandii,-69.1582324,-51.6524116,S48754709,Argentina,obs294601,S48754709,1,true,AR-Z,L7961291,Traveling,17-09-07,2007,10,240,3,2
Turdus falcklandii,-66.6963395,-44.9484484,S49674018,Argentina,obs496887,S49674018,,true,AR-U,L8105422,Traveling,20-02-07,2007,9,180,4,1
Turdus falcklandii,-71.5185928,-33.0501123,S5741646,Chile,obs160240,S5741646,,true,CL-VS,L828886,Traveling,08-12-07,2007,10,300,3,10
Turdus falcklandii,-71.943989,-40.713333,S53667036,Argentina,obs1257411,S53667036,1,true,AR-Q,L8824494,Traveling,16-01-07,2007,11,35,0.5,1
Turdus falcklandii,-72.4435043,-41.1675416,G109596,Chile,"obs146681,obs156093","S3982330,S5033237",35,true,CL-LL,L573592,Stationary,01-02-07,2007,16.08333333,120,0,2
Turdus falcklandii,-70.7936829,-33.397259,G221474,Chile,"obs109998,obs191833","S7420612,S7459641",1,true,CL-RM,L482281,Traveling,09-04-05,2005,8.5,60,0.161,2
