scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus rufiventris,-46.5012272,-23.665239,G10233956,Brazil,"obs3763194,obs3163536","S137816731,S137816748",1,true,BR-SP,L23695241,Stationary,14-05-23,2023,16,10,0,2
Turdus rufiventris,-55.5793681,-27.4333016,G10237073,Argentina,"obs519818,obs766944,obs1171163","S137826138,S137866934,S137867087",2,true,AR-N,L7311956,Traveling,13-05-23,2023,8.883333333,52,1.2,3
Turdus rufiventris,-48.8915644,-27.1957584,G10238159,Brazil,"obs624154,obs1628954","S137851350,S137882990",1,true,BR-SC,L22089628,Traveling,15-05-23,2023,11.88333333,17,0.28,2
Turdus rufiventris,-55.5178987,-27.333554,G10324774,Argentina,"obs429380,obs429465,obs430982","S137876349,S139442972,S139492032",2,true,AR-N,L10715288,Traveling,14-05-23,2023,9.6,191,2.8,4
Turdus rufiventris,-58.4567429,-34.5554188,G10240260,Argentina,"obs1095152,obs1076062","S137911375,S137911461",25,true,AR-C,L24380668,Traveling,13-05-23,2023,9.1,55,3.4,2
Turdus rufiventris,-65.6567247,-24.9027384,G10244470,Argentina,"obs1090096,obs521859","S137938672,S137965372",1,true,AR-A,L24385519,Traveling,13-05-23,2023,10.2,23,4.75,1
Turdus rufiventris,-60.9628743,-24.9542019,G10263274,Argentina,"obs2488163,obs811795","S138016043,S138307120",4,true,AR-P,L24399306,Traveling,13-05-23,2023,16.76666667,54,2.4,4
Turdus rufiventris,-55.2635509,-34.3762186,G10259781,Uruguay,"obs665346,obs1828129","S138074651,S138231488",3,true,UY-LA,L24409936,Stationary,16-05-23,2023,8.2,30,0,2
Turdus rufiventris,-55.2783856,-34.3600958,G10259782,Uruguay,"obs665346,obs1828129","S138080035,S138231493",4,true,UY-LA,L24410791,Traveling,16-05-23,2023,9,90,0.4,2
Turdus rufiventris,-49.0125235,-25.3867185,G10255968,Brazil,obs670206,S138163699,1,true,BR-PR,L9900639,Traveling,14-05-23,2023,17.26666667,125,0.71,2
Turdus rufiventris,-58.9711305,-27.2401387,G10261988,Argentina,"obs2544922,obs2487197","S138274817,S138281302",2,true,AR-H,L24272501,Traveling,08-04-23,2023,7,60,5,2
Turdus rufiventris,-58.3947832,-34.7375558,G10267092,Argentina,"obs2014453,obs3809612","S138377715,S138378217",3,true,AR-B,L24469280,Traveling,19-05-23,2023,11.73333333,11,0.54,2
Turdus rufiventris,-50.210721,-30.089756,G10270588,Brazil,"obs905818,obs2783634","S138431018,S138435027",2,true,BR-RS,L24480805,Traveling,19-05-23,2023,16.83333333,30,0.5,2
Turdus rufiventris,-64.5829067,-18.0945881,G10279896,Bolivia,"obs541066,obs567751,obs3864521,obs532666,obs3905524","S138431061,S138606234,S138804662,S139643865,S140602033",1,true,BO-S,L24480816,Traveling,16-05-23,2023,14.15,35,0.22,4
Turdus rufiventris,-54.665579,-26.4050017,G10279128,Argentina,"obs801527,obs1433528","S138477734,S138596651",4,true,AR-N,L24491294,Traveling,20-05-23,2023,8.4,18,0.66,2
Turdus rufiventris,-64.2954646,-31.2783677,G10304834,Argentina,"obs3215837,obs639239","S138481244,S140126667",1,true,AR-X,L24492013,Stationary,20-05-23,2023,8.783333333,23,0,3
Turdus rufiventris,-48.480552,-27.659183,G10301914,Brazil,"obs3565447,obs761398","S138514015,S139009138",1,true,BR-SC,L24499001,Traveling,20-05-23,2023,8.566666667,88,1.053,2
Turdus rufiventris,-57.4250228,-37.7454675,G10278276,Argentina,"obs801011,obs553295","S138541748,S138584011",1,true,AR-B,L24505454,Stationary,20-05-23,2023,12.53333333,10,0,2
Turdus rufiventris,-68.9552355,-32.9260652,G10277896,Argentina,"obs1184951,obs1762992,obs829582,obs681286","S138565011,S138579307,S138585312,S138588400",1,true,AR-M,L24510957,Traveling,20-05-23,2023,11.96666667,103,1.02,5
Turdus rufiventris,-64.4299875,-24.2640715,G10279184,Argentina,"obs243813,obs428007","S138597401,S138597403",1,true,AR-Y,L24517963,Stationary,20-05-23,2023,8.7,24,0,3
